ASPECT: asus. CATEGORY: company general. OPINION: null. SENTIMENT: negative #####  . asus has not responded to numerous request for an update of the status of repair . ##### EAIO
ASPECT: google play store, apps. CATEGORY: software designfeatures, software designfeatures. OPINION: great, great. SENTIMENT: positive, positive #####  . . . google play store works great and so do all the apps . ##### EAEO
ASPECT: product. CATEGORY: laptop quality. OPINION: slow. SENTIMENT: negative #####  . i waited for a while before i decided that this is not the product for me , it is a little slow . ##### EAEO
ASPECT: null. CATEGORY: laptop quality. OPINION: null. SENTIMENT: negative #####  . i bought this chrome book based on the high ratings , however i feel the quality just is n ' t up to par for the price i paid . ##### IAIO
ASPECT: null, null. CATEGORY: laptop price, laptop price. OPINION: good, cheap. SENTIMENT: positive, positive #####  . it ' s a good price for a good brand , but it ' s a cheap laptop . ##### IAEO
ASPECT: 8th generation core i5 cpu. CATEGORY: cpu general. OPINION: null. SENTIMENT: positive #####  . the 8th generation core i5 cpu is a significant improvement over the 6th generation cpu in my old asus ux501vw . ##### EAIO
ASPECT: support page, support people. CATEGORY: support general, support general. OPINION: buggy, unhelpful. SENTIMENT: negative, negative #####  . i went to the support page and asked a question about a buggy feature and got an unhelpful response from a support person . ##### EAEO
ASPECT: computer. CATEGORY: laptop general. OPINION: amazing. SENTIMENT: positive #####  . this amazing computer can also be used for online college college courses . ##### EAEO
ASPECT: system. CATEGORY: os operationperformance. OPINION: poor. SENTIMENT: negative #####  . the system is very poor . ##### EAEO
ASPECT: null. CATEGORY: laptop portability. OPINION: light. SENTIMENT: positive #####  . this thing is the ultimate mobile workhorse ; light , quiet , and with a screen this nice , you might never want to look at anything else . ##### IAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: flawlessly. SENTIMENT: positive #####  . it worked flawlessly . ##### IAEO
ASPECT: laptop, laptop. CATEGORY: laptop price, laptop quality. OPINION: cheap, flimsy. SENTIMENT: positive, negative #####  , mixed . The cheap laptop is flimsy and the battery will not charge . ##### EAEO
ASPECT: machine. CATEGORY: laptop general. OPINION: better. SENTIMENT: positive #####  . this better machine will have a longer battery life . ##### EAEO
ASPECT: chromebook. CATEGORY: laptop general. OPINION: love. SENTIMENT: positive #####  . i absolutely love this chromebook ! ##### EAEO
ASPECT: computer. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: negative #####  . the computer constantly pauses or stutters and then continues when it comes to loading web pages and working on documents . ##### EAIO
ASPECT: charger. CATEGORY: powersupply quality. OPINION: defective. SENTIMENT: negative #####  . this computer was amazing for the 2 months it was working , but the charger defective and it won ' t be able to charge . ##### EAEO
ASPECT: screen, screen, screen. CATEGORY: display operationperformance, display operationperformance, display operationperformance. OPINION: great, glossy, sharp. SENTIMENT: positive, positive, positive #####  . the screen is great , but glossy and sharp . ##### EAEO
ASPECT: laptop. CATEGORY: laptop usability. OPINION: easy. SENTIMENT: positive #####  . i ' m not really good with computers but i got used to this laptop in a matter of days , it ' s that easy to use . ##### EAEO
ASPECT: null. CATEGORY: laptop general. OPINION: null. SENTIMENT: positive #####  . i will keep my rating at 4 stars , as the issues are largely offset by the lower price and the fact that i got what i paid for . ##### IAIO
ASPECT: backspace key. CATEGORY: keyboard designfeatures. OPINION: small. SENTIMENT: negative #####  . the backspace key is a little small , but i just need to be a little more gentle when i use it . ##### EAEO
ASPECT: android apps. CATEGORY: software operationperformance. OPINION: properly. SENTIMENT: positive #####  . - android apps work properly . ##### EAEO
ASPECT: asus. CATEGORY: laptop general. OPINION: best. SENTIMENT: positive #####  . asus has definitely stepped up their game and created the ultimate asus fanboy fantasy : a beautiful aluminum body , exceptional screen , great performance and a quality chassis . ##### EAEO
ASPECT: laptop, laptop. CATEGORY: laptop designfeatures, laptop designfeatures. OPINION: beautiful, well. SENTIMENT: positive, positive #####  . this is a beautiful laptop and the build quality is very good , to boot . ##### EAEO
ASPECT: customer service. CATEGORY: support general. OPINION: great. SENTIMENT: positive #####  . the customer service was great . ##### EAEO
ASPECT: graphics. CATEGORY: graphics operationperformance. OPINION: null. SENTIMENT: positive #####  . graphics are working fine . ##### EAIO
ASPECT: laptop. CATEGORY: laptop operationperformance. OPINION: great. SENTIMENT: positive #####  . this is a great laptop for web browsing , skype , and more simple games . ##### EAEO
ASPECT: screen. CATEGORY: display general. OPINION: null. SENTIMENT: negative #####  . screen is the only thing keeping me from giving this five stars . ##### EAIO
ASPECT: tablet mode. CATEGORY: laptop portability. OPINION: heavy. SENTIMENT: negative #####  . tablet mode makes it a bit heavier , though . ##### EAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: negative #####  . it would not start up after the 11th of November 2017 . ##### IAIO
ASPECT: tpm. CATEGORY: harddisc operationperformance. OPINION: null. SENTIMENT: negative #####  . without tpm , you are limited to what you can do with your machine . ##### EAIO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: negative #####  . it would not start up after two months of purchase and then re - set button didn ' t work . ##### IAIO
ASPECT: screen hinge. CATEGORY: display quality. OPINION: strong. SENTIMENT: positive #####  . the screen hinge is very strong . ##### EAEO
ASPECT: ports. CATEGORY: ports general. OPINION: null. SENTIMENT: positive #####  . the ports are everywhere . ##### EAIO
ASPECT: warranty. CATEGORY: warranty general. OPINION: null. SENTIMENT: negative #####  . i did not get a warranty . ##### EAIO
ASPECT: battery. CATEGORY: battery operationperformance. OPINION: null. SENTIMENT: negative #####  . the battery will no longer charge . ##### EAIO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: good. SENTIMENT: positive #####  . i ' m fussy as i used to work in an it company and now as i am self employed i don ' t have the budget for the latest and greatest so i am still using a 2013 650m gtx 2gb video card that i salvaged from a crashed 2012 asus vivobook that i bought for $ 100 and traded in towards this one . ##### IAEO
ASPECT: null. CATEGORY: laptop quality. OPINION: bad. SENTIMENT: negative #####  . it ' s a shame because the specs are good for the price but this is a bad way to get them . ##### IAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: positive #####  . i ' ve inadvertently had more than a dozen youtube videos playing at the same time and it was sort of noisy but it wasn ' t lagging . ##### IAIO
ASPECT: tablet / computer. CATEGORY: laptop general. OPINION: high. SENTIMENT: positive #####  . this is high on my list as a tablet / computer . ##### EAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: great. SENTIMENT: negative #####  . it worked great for about a month . ##### IAEO
ASPECT: computer. CATEGORY: laptop general. OPINION: worst. SENTIMENT: negative #####  . this is the worst computer i have ever had . ##### EAEO
ASPECT: response. CATEGORY: laptop operationperformance. OPINION: excellent. SENTIMENT: positive #####  . the overall response time is excellent . ##### EAEO
ASPECT: screen brightness, keyboard backlight. CATEGORY: display designfeatures, keyboard designfeatures. OPINION: null, null. SENTIMENT: negative, negative #####  . screen brightness is relatively low and keyboard backlight is only available in 3 different colors ##### EAIO
ASPECT: touchscreen, touchscreen. CATEGORY: display operationperformance, display operationperformance. OPINION: responsive, great. SENTIMENT: positive, positive #####  . the touchscreen is very responsive , and the resolution is great . ##### EAEO
ASPECT: switch. CATEGORY: hardware general. OPINION: awesome. SENTIMENT: positive #####  . i wish i could give this switch awesome ratings . ##### EAEO
ASPECT: screen. CATEGORY: display quality. OPINION: null. SENTIMENT: negative #####  . i have been using it for about 4 months and the screen already is having little white streaks on it without anything to cause it . ##### EAIO
ASPECT: null, null. CATEGORY: laptop operationperformance, laptop operationperformance. OPINION: fine, solid. SENTIMENT: positive, positive #####  . this one is fine for what i need it for , which is basically just browsing the internet and using google docs . ##### IAEO
ASPECT: asus customer service. CATEGORY: support general. OPINION: sucks. SENTIMENT: negative #####  . asus customer service sucks . ##### EAEO
ASPECT: display. CATEGORY: display general. OPINION: null. SENTIMENT: negative #####  . i will keep my rating at 3 stars , as the issues with the display , backlighting and colors being too bright , to be large issues for me . ##### EAIO
ASPECT: touch pad. CATEGORY: hardware operationperformance. OPINION: accurate. SENTIMENT: positive #####  . the touch pad is accurate . ##### EAEO
ASPECT: apps, microsoft word, excel. CATEGORY: software operationperformance, software operationperformance, software operationperformance. OPINION: wonderfully, wonderfully, wonderfully. SENTIMENT: positive, positive, positive #####  . apps like microsoft word and excel work wonderfully for me . ##### EAEO
ASPECT: null. CATEGORY: laptop general. OPINION: null. SENTIMENT: positive #####  . i ' ll end the review simply saying : if you ' re considering this or the 2015 version i ' d just go ahead and buy this one . ##### IAIO
ASPECT: null. CATEGORY: os operationperformance. OPINION: null. SENTIMENT: negative #####  . it would not boot up after 2 months of purchase and then re - install the operating system . ##### IAIO
ASPECT: android tablets. CATEGORY: laptop connectivity. OPINION: null. SENTIMENT: negative #####  . many android tablets do not have the option to make phone calls or to send and receive text messages . ##### EAIO
ASPECT: chromebooks. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: negative #####  . chromebooks simply do not have the processing power to handle the demands of web browsing and online applications . ##### EAIO
ASPECT: laptop, laptop. CATEGORY: laptop general, laptop price. OPINION: love, happy. SENTIMENT: positive, positive #####  . i love this laptop and am very happy with this purchase for the price . ##### EAEO
ASPECT: build quality. CATEGORY: laptop quality. OPINION: null. SENTIMENT: negative #####  . build quality is isp , with a very fragile feel . ##### EAIO
ASPECT: item. CATEGORY: laptop portability. OPINION: light. SENTIMENT: positive #####  . this item is very light . ##### EAEO
ASPECT: computer, laptop. CATEGORY: laptop general, laptop general. OPINION: good, good. SENTIMENT: positive, positive #####  . good computer , good laptop . ##### EAEO
ASPECT: touchscreen. CATEGORY: display operationperformance. OPINION: well. SENTIMENT: positive #####  . the touchscreen works well . ##### EAEO
ASPECT: samsung chromebook, brand. CATEGORY: laptop general, company general. OPINION: null, null. SENTIMENT: positive, positive #####  . this is my first ever samsung chromebook and samsung phone , and i am soo Impressed with the brand . ##### EAIO
ASPECT: null, null. CATEGORY: laptop price, laptop operationperformance. OPINION: null, null. SENTIMENT: positive, positive #####  . i ' ve kept an eye on chromebooks for the last couple of years as a possible option for a low - cost laptop that could also be used for some light web development and other programming tasks . ##### IAIO
ASPECT: chromebook. CATEGORY: laptop general. OPINION: great. SENTIMENT: positive #####  . this chromebook is great . ##### EAEO
ASPECT: machine, hardware, chrome os, cloud applications. CATEGORY: laptop general, hardware designfeatures, os general, software general. OPINION: great, great, sucks, sucks. SENTIMENT: positive, positive, negative, negative #####  . the hardware is great , the machine looks great , the chrome os is great for web - based applications and sucks for everything else , and the cloud applications are limited to a few key applications . ##### EAEO
ASPECT: chromebook. CATEGORY: laptop general. OPINION: great. SENTIMENT: positive #####  . this chromebook is great for browsing the internet , and for note - taking . ##### EAEO
ASPECT: null. CATEGORY: laptop usability. OPINION: easy. SENTIMENT: positive #####  . it ' s fast , quiet , and very easy to use if you are familiar with google drive . ##### IAEO
ASPECT: keyboard, track pad. CATEGORY: keyboard operationperformance, keyboard operationperformance. OPINION: null, null. SENTIMENT: negative, negative #####  . no keyboard or track pad feedback or tension ; just a bunch of floating , delicate , fragile , annoying , 2 - inch long, thin strips of plastic that will probably break off or get stuck sometime ; probably on day one . ##### EAIO
ASPECT: chromebook, chromebook, chromebook. CATEGORY: laptop general, laptop general, laptop general. OPINION: love, love, love. SENTIMENT: positive, positive, positive ##### . i love this chromebook , i love this chromebook , i love this chromebook . ##### EAEO
ASPECT: dvd player. CATEGORY: opticaldrives general. OPINION: nice. SENTIMENT: positive #####  . a nice dvd player is included . ##### EAEO
ASPECT: asus product. CATEGORY: company general. OPINION: null. SENTIMENT: negative #####  . i will never buy an asus product again . ##### EAIO
ASPECT: null. CATEGORY: laptop general. OPINION: nice. SENTIMENT: positive #####  . it is nice to have the ability to work from home . ##### IAEO
ASPECT: case, laptop. CATEGORY: laptop operationperformance, laptop operationperformance. OPINION: null, null. SENTIMENT: negative, negative #####  . the case is a fingerprint magnet and the laptop is not as fast as it could be . ##### EAIO
ASPECT: delete and power button. CATEGORY: keyboard designfeatures. OPINION: complaining. SENTIMENT: negative #####  . deleting files should not require a phone call or email . delete and power button too close to each other , i will accidentally press it too often . ##### EAEO
ASPECT: c302. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: positive #####  . the c302 works like it is made to run these types of applications . ##### EAIO
ASPECT: anti - reflective coating, apple ' s warranty. CATEGORY: laptop quality, warranty general. OPINION: null, null. SENTIMENT: negative, neutral #####  . the screen does not have an anti - reflective coating , and apple ' s warranty does not cover accidental damage . ##### EAIO
ASPECT: boots up, shuts down. CATEGORY: laptop operationperformance, laptop operationperformance. OPINION: null, null. SENTIMENT: positive, positive #####  . it boots up and shuts down like it is made for this purpose . ##### EAIO
ASPECT: dvd drive. CATEGORY: opticaldrives general. OPINION: null. SENTIMENT: neutral #####  . no dvd drive , but not a problem . ##### EAIO
ASPECT: battery. CATEGORY: battery operationperformance. OPINION: null. SENTIMENT: negative #####  . the battery will need charging what feels like every 6ish hours depending on use . ##### EAIO
ASPECT: laptop, running speed. CATEGORY: laptop general, cpu operationperformance. OPINION: nice, fast. SENTIMENT: positive, positive #####  . nice laptop and running speed is fast . ##### EAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: recommend. SENTIMENT: negative #####  . i would not recommend it . ##### IAEO
ASPECT: acer. CATEGORY: company general. OPINION: null. SENTIMENT: positive #####  . acer has definitely broadened the flexibility and usefulness of this niche . ##### EAIO
ASPECT: screen. CATEGORY: display operationperformance. OPINION: perfectly. SENTIMENT: positive #####  . the screen displays perfectly . ##### EAEO
ASPECT: acer aspire. CATEGORY: laptop general. OPINION: great. SENTIMENT: positive #####  . the acer aspire is great . ##### EAEO
ASPECT: touch pad, touch pad. CATEGORY: hardware general, hardware general. OPINION: poor, stuck. SENTIMENT: negative, negative #####  . the touch pad is poor and one of them is stuck . ##### EAEO
ASPECT: product. CATEGORY: laptop general. OPINION: love. SENTIMENT: positive #####  . i love this product . ##### EAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: negative #####  . it just stopped working in the middle of my paper i was writing . ##### IAIO
ASPECT: solid state drive. CATEGORY: harddisc general. OPINION: love. SENTIMENT: positive #####  . i love the solid state drive . ##### EAEO
ASPECT: chrome os. CATEGORY: os operationperformance. OPINION: null. SENTIMENT: negative #####  . chrome os is crippled on purpose to force people to use the play store which is nothing more than a bunch of android apps that don ' t work well if at all . ##### EAIO
ASPECT: computer. CATEGORY: laptop quality. OPINION: great. SENTIMENT: positive #####  . this is a great computer . ##### EAEO
ASPECT: null. CATEGORY: software operationperformance. OPINION: well. SENTIMENT: positive #####  . it is a standard windows os , but it doesn ' t come with a lot of the standard windows programs , which i suppose is fair , as most people that buy a chromebook are likely buying it because they want an internet - based operating system , and not because they want to run word processing or other programs on it . ##### IAEO
ASPECT: speakers. CATEGORY: multimediadevices operationperformance. OPINION: good. SENTIMENT: positive #####  . the speakers are surprisingly good . ##### EAEO
ASPECT: null. CATEGORY: laptop portability. OPINION: portable. SENTIMENT: positive #####  . this is easy to carry from place to place . ##### IAEO
ASPECT: touchpad. CATEGORY: keyboard designfeatures. OPINION: sticky. SENTIMENT: negative #####  . touchpad is a little sticky . ##### EAEO
ASPECT: notebook. CATEGORY: laptop general. OPINION: happy. SENTIMENT: positive #####  . i am very happy with this notebook . ##### EAEO
ASPECT: customer tech support, msi. CATEGORY: support general, support general. OPINION: good luck, good luck. SENTIMENT: negative, negative #####  . customer tech support at msi was of no help , and good luck finding any help on their website . ##### EAEO
ASPECT: null. CATEGORY: laptop designfeatures. OPINION: light. SENTIMENT: positive #####  . almost 1 / 3 the weight of a standard laptop and about the size of a tablet . ##### IAEO
ASPECT: speakers. CATEGORY: multimediadevices operationperformance. OPINION: horrible. SENTIMENT: negative #####  . the speakers are horrible . ##### EAEO
ASPECT: speakers. CATEGORY: multimediadevices quality. OPINION: null. SENTIMENT: negative #####  . the speakers are already starting to crackle , and i haven ' t even had the thing for a week . ##### EAIO
ASPECT: touchpad. CATEGORY: keyboard designfeatures. OPINION: well. SENTIMENT: positive #####  . the touchpad is well positioned and of similar size to the laptop ' s screen . ##### EAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: great. SENTIMENT: positive #####  . great for web browsing and more simple games . ##### IAEO
ASPECT: ports. CATEGORY: ports designfeatures. OPINION: generous. SENTIMENT: positive #####  . our review unit had a generously sized usb c charging port , a dvd burner , and a sd card reader ; ##### EAEO
ASPECT: msi product. CATEGORY: laptop general. OPINION: null. SENTIMENT: negative #####  . i will never buy an msi product again . ##### EAIO
ASPECT: system. CATEGORY: os operationperformance. OPINION: impressed. SENTIMENT: positive #####  . i am very impressed with the system . ##### EAEO
ASPECT: null. CATEGORY: shipping operationperformance. OPINION: excellent. SENTIMENT: positive #####  . the computer was packed excellently and arrived with no damage whatsoever . ##### IAEO
ASPECT: usb port. CATEGORY: ports quality. OPINION: null. SENTIMENT: negative #####  . A usb port on the left side went bad within the first two weeks of use ; the computer was used very little during that time . ##### EAIO
ASPECT: null, null. CATEGORY: laptop operationperformance, laptop operationperformance. OPINION: crashed, dead. SENTIMENT: negative, negative #####  . it took hours to restore to factory default settings , and it crashed once again days later , now i ' ve just thrown it in the trash , what a waste of money and time . ##### IAEO
ASPECT: laptop, tablet. CATEGORY: laptop general, laptop general. OPINION: great, great. SENTIMENT: positive, positive #####  . this is a great laptop and also makes a great tablet . ##### EAEO
ASPECT: processor, hybrid storage units, web cam, web cam. CATEGORY: cpu operationperformance, memory general, hardware operationperformance, hardware operationperformance. OPINION: like, like, sucks, poor. SENTIMENT: positive, positive, negative, negative #####  . i like the processor and the hybrid storage units , but the web cam sucks and the other web cam is poor . ##### EAEO
ASPECT: null. CATEGORY: harddisc operationperformance. OPINION: null. SENTIMENT: negative #####  . it began to click and whine after just one month of use and the hard disc has completely crashed . ##### IAIO
ASPECT: chromebook. CATEGORY: laptop general. OPINION: best. SENTIMENT: positive #####  . this is one of the best chromebook in the market if not the best . ##### EAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: fast. SENTIMENT: positive #####  . it ' s extremely fast and has very little lag when opening pages or surfing the web . ##### IAEO
ASPECT: touchpad. CATEGORY: hardware operationperformance. OPINION: null. SENTIMENT: negative #####  . touchpad keeps breaking . ##### EAIO
ASPECT: tablet. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: positive #####  . with the exception of some battery issues which i attribute to the touch screen and not so much a tablet as a laptop issue . ##### EAIO
ASPECT: machine, machine. CATEGORY: laptop designfeatures, laptop operationperformance. OPINION: cleverly, fast. SENTIMENT: positive, positive #####  . the machine is surprisingly cleverly designed and very fast indeed . ##### EAEO
ASPECT: graphics. CATEGORY: graphics general. OPINION: great. SENTIMENT: positive #####  . the graphics are great . ##### EAEO
ASPECT: null, null, null. CATEGORY: laptop quality, laptop operationperformance, laptop operationperformance. OPINION: cheaply made, well, worth. SENTIMENT: negative, positive, positive #####  . despite the fact that they are cheaply made , they work well and are worth the $ 200 or so that they cost new . ##### IAEO
ASPECT: battery. CATEGORY: battery general. OPINION: good. SENTIMENT: positive #####  . the battery on it is really good i use it mostly when im out and about . ##### EAEO
ASPECT: keyboard. CATEGORY: keyboard designfeatures. OPINION: null. SENTIMENT: negative #####  . no backlighting on the keyboard . ##### EAIO
ASPECT: trackpad. CATEGORY: hardware operationperformance. OPINION: null. SENTIMENT: negative #####  . the trackpad is the ultimate difference - maker for me . ##### EAIO
ASPECT: product. CATEGORY: laptop general. OPINION: excellent. SENTIMENT: positive #####  . this is an excellent product . ##### EAEO
ASPECT: battery. CATEGORY: battery general. OPINION: terrible. SENTIMENT: negative #####  . the battery on this computer is terrible . ##### EAEO
ASPECT: starts up. CATEGORY: os operationperformance. OPINION: null. SENTIMENT: neutral #####  . it starts up with the samsung logo and then goes black and then starts the android boot process . ##### EAIO
ASPECT: machine, machine, machine. CATEGORY: laptop designfeatures, laptop designfeatures, laptop designfeatures. OPINION: clean, mean, clean. SENTIMENT: positive, positive, positive #####  . the clean lines and mean profile make this machine a winner , and the high quality materials used make it feel like a premium product . ##### EAEO
ASPECT: keyboard, keyboard. CATEGORY: keyboard general, keyboard general. OPINION: hate, cheap. SENTIMENT: negative, negative #####  . i hate the cheap keyboard . ##### EAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: positive #####  . it works like it is made to run linux . ##### IAIO
ASPECT: laptop. CATEGORY: laptop general. OPINION: love. SENTIMENT: positive #####  . i absolutely love this laptop . ##### EAEO
ASPECT: null, null, null, null. CATEGORY: laptop designfeatures, laptop designfeatures, laptop operationperformance, laptop operationperformance. OPINION: love, light, love, speedy. SENTIMENT: positive, positive, positive, positive #####  . i love the look and feel of it , it's very light , and it's fast , but i have to learn how to use it . ##### IAEO
ASPECT: chromebook. CATEGORY: laptop general. OPINION: fantastic. SENTIMENT: positive #####  . this chromebook is fantastic . ##### EAEO
ASPECT: track pad. CATEGORY: hardware usability. OPINION: null. SENTIMENT: negative #####  . i ' m also not sure if there is a way to right - click on the track pad , if you need to use the scroll bar . ##### EAIO
ASPECT: screen. CATEGORY: display designfeatures. OPINION: null. SENTIMENT: negative #####  . screen is harder to clean . ##### EAIO
ASPECT: seller, services. CATEGORY: support general, support general. OPINION: not blaming, glitchy. SENTIMENT: neutral, negative #####  . not blaming the seller or any of their services , but it is a glitchy piece of hardware . ##### EAEO
ASPECT: screen. CATEGORY: display general. OPINION: null. SENTIMENT: positive #####  . you are provided with a nice thick chromebook 14 inch hd screen that is matte , has 1080p resolution and is energy efficient . ##### EAIO
ASPECT: chromebook. CATEGORY: laptop quality. OPINION: hesitant. SENTIMENT: negative #####  . i was initially very hesitant to buy this chromebook due to the lower quality materials used in its construction . ##### EAEO
ASPECT: speakers. CATEGORY: multimediadevices designfeatures. OPINION: new. SENTIMENT: positive #####  . the new speakers are . ##### EAEO
ASPECT: null, null. CATEGORY: laptop designfeatures, laptop usability. OPINION: light, comfortable. SENTIMENT: positive, positive #####  . it ' s light , comfortable to hold , and the screen is just about the perfect size for me ( i ' m usually a tablet user ) . ##### IAEO
ASPECT: keyboard, screen. CATEGORY: keyboard usability, display designfeatures. OPINION: comfortable, sharp. SENTIMENT: positive, positive #####  . i ' m actually writing this on the chromebook pro ' s keyboard and screen looks pretty sharp , feels comfortable to type on . ##### EAEO
ASPECT: asus. CATEGORY: support general. OPINION: null. SENTIMENT: neutral #####  . i ' m in the us and asus wanted to charge me $ 60 cad for diagnosis only , but after explaining my situation they agreed to do it for $ 20 and then said it would be an additional estimated $ 120 for repair . ##### EAIO
ASPECT: mastercam. CATEGORY: multimediadevices operationperformance. OPINION: good. SENTIMENT: positive #####  . with mastercam it doesn ' t skip a beat . ##### EAEO
ASPECT: null, null. CATEGORY: laptop designfeatures, laptop designfeatures. OPINION: thin, light. SENTIMENT: positive, positive #####  . it is thin and light which are two big factors for me . ##### IAEO
ASPECT: chromeos. CATEGORY: os usability. OPINION: decent. SENTIMENT: positive #####  . chromeos is pretty decent if you ' re familiar with chrome browser . ##### EAEO
